basin_id,Catchment Area (km2),Reservoir area (km2),lat,lon,Soil Carbon Content (kgC m-2),Mean_annual_runoff (2011-2018) (mm yr-1),Effective Temperature CO2 (°C),Effective Temperature CH4 (°C),Discharge (m3 yr-1),Age,YEAR,q-bathymetric Shape,% Littoral Area,Cumulative radiance (kWh m-2 period),GRAND_ID,Maximum Depth (m),P Input from catchment (kgP yr-1),CH4 Diffusive Emissions(g CO2e/m2/yr),CH4 Bubbling Emissions (g CO2e/m2/yr,Storage Capacity (millions of m3),MAIN_USE,Installed Capacity(MW),CRD_ID,Name,Province,Prefecture,County,ZN_name,River Area Before impoundment (%),R_WRT,CO2 diffusion part 1,CO2 diffusion part 2,CH4 Bubbling Emissions (g CO2e/m2/yr),number of month over 0°,Average GHI (kWh m-2 period),Mean Depth(m),P Human Input (kgP yr-1),CH4 Degassing Emissions (gCO2e/m2/yr),FID_1query_shape,Main Basin,FID_2query_shape,Sub Basin,FID_3query_shape,Third Level Basin,"Water Residence Time (WRT, yrs)",Total Phosphorus (µg L-1),CO2 Diffusive Emissions (g CO2e/m2/yr),Length(m)
2183,693.9630453,0.28553686,24.23382257,121.0763392,27.28045422,652.3102125,22.04965865,22.12146945,452679181.5,62.0,1961.0,0.4808361974620316,1.7129012100313037,45.15,6188.0,85.0,13.15106635,55.64800836574061,5.639369944,17.8, ,,17389.0,Guguan Reservoir,Taiwan,Taiwan,Taichung County,,0.691257624,0.159861123956239,470.2275071089676,384.135119838944,5.63936994367559,12,3.7625,57.40000153,1129.8392719926037,,5.0,东南沿海诸河流域,36.0,浙东、闽东及台湾沿海诸河系,140.0,台澎金马诸河,0.0362062512900812,2.121305015622931,86.09238727002355,41.23086741
2185,50.8915542,0.053996409,29.41739601,121.0666921,8.031757345,783.6890125,20.66726572,20.77923909,39883151.86,,,0.8902761253829439,8.160070344635306,43.07,,32.9,2.817707707,98.2252397216462,,1.496663304,,,94557.0,Zhailing Reservoir,Zhejiang,Shaoxing,Xinchang County,寨岭水库,0.475720369,0.1330771463291976,314.1410517636085,,16.61102669645311,12,3.589166667,17.40486459,969.2999376253914,,5.0,东南沿海诸河流域,0.0,钱塘江水系,6.0,富春江水库以下,0.0235638394476483,21.130501575040206,,12.38049431
2187,0.881565684,0.051283171,28.50715609,113.1852026,7.14673017,1107.312438,20.47098716,20.58073718,976168.6468,,,,,40.26,,,0.186025954,,,1.3287,,,74301.0,Xiangshui Dam Reservoir,Hunan,Changsha City,Changsha County,,,0.5382783387740872,,,,12,3.355,25.870408789755952,37.03467829518043,,4.0,长江流域,19.0,洞庭湖水系,154.0,洞庭湖环湖区,1.3591059312797449,17.605160188525307,,
2188,60.60057678,2.025449787,27.104417,111.625106,7.48138767,1156.575663,20.62628487,20.73197808,70089152.27,,1958.0,5.122448860891297,41.70791431639278,38.3,5614.0,30.0,13.24841474,206.7482188622477,41.60571271,10.0, ,0.25,92723.0,Huangjiaba Reservoir,Hunan,Shaoyang,Shaodong County,,0.013233483,0.2734138436023705,520.738511585871,418.49241187601257,37.64961569887784,12,3.191666667,4.900000095,5717.678973953161,,4.0,长江流域,19.0,洞庭湖水系,83.0,资水冷水江以上,0.141601144080583,59.41022781818941,102.24609970985848,12.21661984
2189,121.7685709,2.708852974,32.15153538,112.4213649,5.653797463,600.622325,19.8462413,19.96393587,73136922.17,,1958.0,0.5174596439537642,10.533994341787212,44.93,,15.5,11.09272566,100.89757249820936,,53.4,,,68037.0,Guangou Reservoir,Hubei,Xiangfan,Xiangzhou District,官沟水库,0.017011965,0.3808356488595776,522.8632194195005,420.1999370273963,25.793479180838112,12,3.744166667,10.21443968,11186.242433732015,,4.0,长江流域,14.0,汉江水系,156.0,唐白河,0.3783234853956977,94.7946748750474,102.66328239210424,16.80028475
2190,7.583935996,0.260082458,22.72092347,109.7720961,7.009844387,1246.900275,23.73143598,23.78348453,9456411.879,,,,,44.68,,,0.510125963,,,4.942142949,,,91754.0,Xinrong Reservoir,Guangxi,Yulin City,Xingye County,,,0.4575451900220274,,,,12,3.723333333,25.86760247916583,470.2319203029849,,6.0,珠江流域,43.0,粤桂琼沿海诸河系,51.0,桂南诸河,0.7114442265667776,27.00350730523175,,
2194,44.4991629,3.237194589,19.73180436,110.6799588,13.5933794,1533.684475,25.27779824,25.30553134,68247675.29,,1958.0,,,51.23,,,1.827863461,,,46.97001669,,,26559.0,Donglu ,Hainan,Provincial and county-level administrative units,Wenchang,,0.007089925,0.5251593941576665,754.8305765733006,606.62090765267,,12,4.269166667,25.78728578395532,2954.81139996126,,6.0,珠江流域,43.0,粤桂琼沿海诸河系,210.0,海南岛,1.223169311625946,20.57113847665911,148.20966892063063,11.54744352
2196,18.83554962,0.104247582,37.23128296,120.606393,3.973039219,208.8258125,16.74909427,16.87558255,3933348.953,,,,,47.6575,,,1.210721789,,,5.328833733,,,67442.0,Gangshan Reservoir,Shandong,City of Yantai,Qixia,,,0.4530264779023166,,,,11,4.3325,25.882787782655765,994.8205587409524,,3.0,淮河流域,11.0,山东半岛及沿海诸河系,163.0,胶东诸河,0.6859849135710643,138.50862055231784,,
2197,10.64065757,0.627510703,23.94592077,103.3266844,7.275932177,1285.792562,16.57491366,16.6144975,13681678.36,,,,,54.63,,,1.974393006,,,8.295315774,,,92337.0,?€??????????,Yunnan,Honghe Hani and Yi Autonomous Prefecture,Maitreya,,,0.5212690039850447,,,,12,4.5525,25.849904736206103,267.8135129731117,,6.0,珠江流域,38.0,西江水系,177.0,南盘江,1.1856068728340714,9.440057684718823,,
2198,235.1522303,0.175460309,23.63285728,106.6200747,8.565300397,1193.544675,23.66740154,23.71811334,280664692.3,,1971.0,,,44.7,,,13.57227785,,,3.909305932,,,91076.0,Xingda Reservoir,Guangxi,Baise,Tianyang County,,0.386084674,0.1128255818223493,415.35406738684657,360.7537956074951,,12,3.725,25.87057221173008,5020.890057500469,,6.0,珠江流域,38.0,西江水系,103.0,右江,0.0161732441557126,15.913815722954226,54.60027177935149,20.00680447
